

cancer	gene	sample	tumor methylation	normal methylation	tumor expression	normal expression
brca	NM_001042669	TCGA-AC-A2FM	0.8762	0.3279	86.8694	290.7830
brca	NM_001042669	TCGA-AC-A2FO	0.7650		420.4810	
brca	NM_001042669	TCGA-AC-A2QH	0.1412		1287.7164	
brca	NM_001042669	TCGA-AC-A2QI	0.7492		387.9269	
brca	NM_001042669	TCGA-AC-A2QJ	0.2916		309.4539	
brca	NM_001042669	TCGA-AC-A3BB	0.6506		295.7198	
brca	NM_001042669	TCGA-AC-A3EH	0.9114		146.5100	
brca	NM_001042669	TCGA-AC-A3HN	0.8045		278.8881	
brca	NM_001042669	TCGA-AC-A3OD	0.8806		263.2527	
brca	NM_001042669	TCGA-AC-A3QP	0.8470		260.9859	
brca	NM_001042669	TCGA-AC-A3QQ	0.8573		82.7930	
brca	NM_001042669	TCGA-AC-A3TM	0.8628		65.8295	
brca	NM_001042669	TCGA-AC-A3TN	0.8596		75.3656	
brca	NM_001042669	TCGA-AC-A3W5	0.8757		249.6915	
brca	NM_001042669	TCGA-AC-A3W6	0.7775		406.4462	
brca	NM_001042669	TCGA-AC-A3W7	0.8567		174.4082	
brca	NM_001042669	TCGA-AC-A3YI	0.6933		216.3305	
brca	NM_001042669	TCGA-AC-A3YJ	0.8864		94.5865	
brca	NM_001042669	TCGA-AC-A5EH	0.8234		129.0722	
brca	NM_001042669	TCGA-AC-A5XS	0.7696		193.7156	
brca	NM_001042669	TCGA-AC-A5XU	0.8662		604.1991	
brca	NM_001042669	TCGA-AC-A62V	0.7812		74.8830	
brca	NM_001042669	TCGA-AC-A62X	0.2357		224.8361	
brca	NM_001042669	TCGA-AC-A62Y	0.7952		157.3960	
brca	NM_001042669	TCGA-AC-A6IV	0.7272		325.1495	
brca	NM_001042669	TCGA-AC-A6IW	0.8390		60.6401	
brca	NM_001042669	TCGA-AC-A6IX	0.7508		1375.3138	
brca	NM_001042669	TCGA-AC-A6NO	0.8902		116.6469	
brca	NM_001042669	TCGA-AC-A7VB	0.9141			
brca	NM_001042669	TCGA-AC-A7VC	0.1892			
brca	NM_001042669	TCGA-AC-A8OP	0.8405			
brca	NM_001042669	TCGA-AN-A0XL	0.7469		425.1676	
brca	NM_001042669	TCGA-AN-A0XN	0.8062		340.2242	
brca	NM_001042669	TCGA-AN-A0XO	0.8377		259.2566	
brca	NM_001042669	TCGA-AN-A0XP	0.8152		142.4437	
brca	NM_001042669	TCGA-AN-A0XR	0.8952		230.6738	
brca	NM_001042669	TCGA-AN-A0XS	0.7810		245.5263	
brca	NM_001042669	TCGA-AN-A0XT	0.8195		138.4814	
brca	NM_001042669	TCGA-AN-A0XU	0.7388		119.2281	
brca	NM_001042669	TCGA-AN-A0XV	0.8139		260.1116	
brca	NM_001042669	TCGA-AN-A0XW	0.7513		242.3653	
brca	NM_001042669	TCGA-AO-A03L	0.6529		166.6810	
brca	NM_001042669	TCGA-AO-A03M	0.8652		343.1779	
brca	NM_001042669	TCGA-AO-A03N	0.8029		172.7591	
brca	NM_001042669	TCGA-AO-A03U	0.7452		272.2002	
brca	NM_001042669	TCGA-AO-A0JA	0.8430		408.8261	
brca	NM_001042669	TCGA-AO-A0JB	0.8724		298.2216	
brca	NM_001042669	TCGA-AO-A0JC	0.8714		699.6497	
brca	NM_001042669	TCGA-AO-A0JD	0.6805		147.1169	
brca	NM_001042669	TCGA-AO-A0JE	0.7762		233.6714	
brca	NM_001042669	TCGA-AO-A0JF	0.6758		300.1537	
brca	NM_001042669	TCGA-AO-A0JG	0.7922		212.9743	
brca	NM_001042669	TCGA-AO-A0JI	0.8672		48.4665	
brca	NM_001042669	TCGA-AO-A0JJ	0.8463		285.1999	
brca	NM_001042669	TCGA-AO-A0JL	0.2681		254.3110	
brca	NM_001042669	TCGA-AO-A0JM	0.8845		236.9281	
brca	NM_001042669	TCGA-AO-A124	0.2594		235.3446	
brca	NM_001042669	TCGA-AO-A125	0.9065		110.8841	
brca	NM_001042669	TCGA-AO-A126	0.8708		275.5082	
brca	NM_001042669	TCGA-AO-A128	0.8857		77.6119	
brca	NM_001042669	TCGA-AO-A129	0.8059		156.7568	
brca	NM_001042669	TCGA-AO-A12B	0.8839		120.0973	
brca	NM_001042669	TCGA-AO-A12C	0.8945		228.3789	
brca	NM_001042669	TCGA-AO-A12E	0.7253		263.3880	
brca	NM_001042669	TCGA-AO-A12G	0.8467		245.6000	
brca	NM_001042669	TCGA-AO-A1KO	0.4712		251.9237	
brca	NM_001042669	TCGA-AO-A1KP	0.9233		68.6350	
brca	NM_001042669	TCGA-AO-A1KQ	0.7380		110.2573	
brca	NM_001042669	TCGA-AO-A1KR	0.8533		294.3144	
brca	NM_001042669	TCGA-AO-A1KS	0.8925		207.5518	
brca	NM_001042669	TCGA-AO-A1KT	0.4745		155.7426	
brca	NM_001042669	TCGA-AQ-A04H	0.8359		150.7493	
brca	NM_001042669	TCGA-AQ-A04L	0.7216		169.9225	
brca	NM_001042669	TCGA-AQ-A0Y5	0.7278		291.2364	
brca	NM_001042669	TCGA-AQ-A1H2	0.8579		60.2107	
brca	NM_001042669	TCGA-AQ-A1H3	0.8396		190.1399	
brca	NM_001042669	TCGA-AQ-A54N	0.7862		652.8207	
brca	NM_001042669	TCGA-AQ-A54O	0.8732		85.9678	
brca	NM_001042669	TCGA-AQ-A7U7	0.7603			
brca	NM_001042669	TCGA-AR-A0TP	0.6651		86.5315	
brca	NM_001042669	TCGA-AR-A0TQ	0.8980		141.2151	
brca	NM_001042669	TCGA-AR-A0TR	0.8533		53.0084	
brca	NM_001042669	TCGA-AR-A0TT	0.8503		243.8825	
brca	NM_001042669	TCGA-AR-A0TU	0.8661		109.8763	
brca	NM_001042669	TCGA-AR-A0TV	0.9153		49.3431	
brca	NM_001042669	TCGA-AR-A0TW	0.8562		86.0498	
brca	NM_001042669	TCGA-AR-A0TX	0.8102		240.9475	
brca	NM_001042669	TCGA-AR-A0TZ	0.9095		150.2752	
brca	NM_001042669	TCGA-AR-A0U0	0.7748		117.4168	
brca	NM_001042669	TCGA-AR-A0U2	0.8234		133.0336	
brca	NM_001042669	TCGA-AR-A0U3	0.8705		84.4267	
brca	NM_001042669	TCGA-AR-A0U4	0.8052		229.1309	
brca	NM_001042669	TCGA-AR-A1AI	0.4648		598.0259	
brca	NM_001042669	TCGA-AR-A1AJ	0.6987		263.7739	
brca	NM_001042669	TCGA-AR-A1AK	0.8443		516.4096	
brca	NM_001042669	TCGA-AR-A1AL	0.7921		371.5585	
brca	NM_001042669	TCGA-AR-A1AM	0.7705		201.8089	
brca	NM_001042669	TCGA-AR-A1AN	0.7800		254.8496	
brca	NM_001042669	TCGA-AR-A1AO	0.8225		303.5729	
brca	NM_001042669	TCGA-AR-A1AP	0.6326		123.7067	
brca	NM_001042669	TCGA-AR-A1AQ	0.7886		185.4339	
brca	NM_001042669	TCGA-AR-A1AR	0.8657		170.0445	
brca	NM_001042669	TCGA-AR-A1AS	0.9013		90.9500	
brca	NM_001042669	TCGA-AR-A1AT	0.5350		132.7112	
brca	NM_001042669	TCGA-AR-A1AU	0.7419		473.5510	
brca	NM_001042669	TCGA-AR-A1AV	0.8228		147.1898	
brca	NM_001042669	TCGA-AR-A1AW	0.8190		236.8521	
brca	NM_001042669	TCGA-AR-A1AX	0.6982		243.1002	
brca	NM_001042669	TCGA-AR-A1AY	0.8247		180.7661	
brca	NM_001042669	TCGA-AR-A24H	0.7911		84.9277	
brca	NM_001042669	TCGA-AR-A24K	0.8941		76.1317	
brca	NM_001042669	TCGA-AR-A24L	0.7912		225.1241	
brca	NM_001042669	TCGA-AR-A24M	0.8394		195.5903	
brca	NM_001042669	TCGA-AR-A24N	0.9117		203.3948	
brca	NM_001042669	TCGA-AR-A24O	0.6663		398.5064	
brca	NM_001042669	TCGA-AR-A24P	0.8849		272.5300	
brca	NM_001042669	TCGA-AR-A24Q	0.3843		130.4221	
brca	NM_001042669	TCGA-AR-A24R	0.9156		111.5364	
brca	NM_001042669	TCGA-AR-A24S	0.3837		381.3485	
brca	NM_001042669	TCGA-AR-A24T	0.8240		400.3543	
brca	NM_001042669	TCGA-AR-A24U	0.7417		218.4752	
brca	NM_001042669	TCGA-AR-A24V	0.8668		546.9773	
brca	NM_001042669	TCGA-AR-A24W	0.6431		248.2556	
brca	NM_001042669	TCGA-AR-A24X	0.9011		123.2852	
brca	NM_001042669	TCGA-AR-A24Z	0.9115		61.3483	
brca	NM_001042669	TCGA-AR-A250	0.8760		259.9338	
brca	NM_001042669	TCGA-AR-A251	0.4527		128.8860	
brca	NM_001042669	TCGA-AR-A252	0.8177		314.0741	
brca	NM_001042669	TCGA-AR-A254	0.8630		201.9908	
brca	NM_001042669	TCGA-AR-A255	0.7160		354.7486	
brca	NM_001042669	TCGA-AR-A256	0.1496		115.0973	
brca	NM_001042669	TCGA-AR-A2LE	0.9090		145.7086	
brca	NM_001042669	TCGA-AR-A2LH	0.7469		276.5510	
brca	NM_001042669	TCGA-AR-A2LJ	0.7745		201.9731	
brca	NM_001042669	TCGA-AR-A2LK	0.9090		166.0782	
brca	NM_001042669	TCGA-AR-A2LL	0.8730		97.8339	
brca	NM_001042669	TCGA-AR-A2LM	0.8285		307.9967	
brca	NM_001042669	TCGA-AR-A2LN	0.7464		327.0755	
brca	NM_001042669	TCGA-AR-A2LO	0.7280		242.4242	
brca	NM_001042669	TCGA-AR-A2LQ	0.3942		613.5766	
brca	NM_001042669	TCGA-AR-A2LR	0.2163		175.2712	
brca	NM_001042669	TCGA-AR-A5QN	0.7894		222.3569	
brca	NM_001042669	TCGA-AR-A5QP	0.7262		213.3119	
brca	NM_001042669	TCGA-AR-A5QQ	0.7790		126.1798	
brca	NM_001042669	TCGA-B6-A0I1	0.2922		19.0753	
brca	NM_001042669	TCGA-B6-A0IK	0.6286		116.7630	
brca	NM_001042669	TCGA-B6-A0RE	0.6646		65.9786	
brca	NM_001042669	TCGA-B6-A0RG	0.8528		99.0876	
brca	NM_001042669	TCGA-B6-A0RI	0.8393		198.9681	
brca	NM_001042669	TCGA-B6-A0RL	0.8955		14.1538	
brca	NM_001042669	TCGA-B6-A0RM	0.9181		161.4896	
brca	NM_001042669	TCGA-B6-A0RN	0.8981		165.3171	
brca	NM_001042669	TCGA-B6-A0RO	0.8406		59.5140	
brca	NM_001042669	TCGA-B6-A0RP	0.7569		179.6943	
brca	NM_001042669	TCGA-B6-A0RS	0.7888		141.0985	
brca	NM_001042669	TCGA-B6-A0RT	0.8520		185.9800	
brca	NM_001042669	TCGA-B6-A0RU	0.3547		446.3680	
brca	NM_001042669	TCGA-B6-A0RV	0.8166		204.4355	
brca	NM_001042669	TCGA-B6-A0WT	0.8640		115.5998	
brca	NM_001042669	TCGA-B6-A0WV	0.7771		48.1332	
brca	NM_001042669	TCGA-B6-A0WW	0.8675		237.3651	
brca	NM_001042669	TCGA-B6-A0WX	0.5842		290.8694	
brca	NM_001042669	TCGA-B6-A0WY	0.6028		236.8758	
brca	NM_001042669	TCGA-B6-A0WZ	0.8143		70.2199	
brca	NM_001042669	TCGA-B6-A0X1	0.6239		52.7246	
brca	NM_001042669	TCGA-B6-A0X4	0.8850		43.6836	
brca	NM_001042669	TCGA-B6-A0X5	0.7758		564.1505	
brca	NM_001042669	TCGA-B6-A0X7	0.7764		194.3014	
brca	NM_001042669	TCGA-B6-A1KC	0.9326		95.7447	
brca	NM_001042669	TCGA-B6-A1KF	0.1359		217.3553	
brca	NM_001042669	TCGA-B6-A1KI	0.6899		169.6009	
brca	NM_001042669	TCGA-B6-A1KN	0.8506		116.8755	
brca	NM_001042669	TCGA-B6-A2IU	0.7435		115.0252	
brca	NM_001042669	TCGA-B6-A3ZX	0.7326		248.4534	
brca	NM_001042669	TCGA-B6-A400	0.6588		76.7091	
brca	NM_001042669	TCGA-B6-A401	0.8197		111.1871	
brca	NM_001042669	TCGA-B6-A402	0.8719		43.6023	
brca	NM_001042669	TCGA-B6-A408	0.9025		99.6142	
brca	NM_001042669	TCGA-B6-A409	0.3837		53.4181	
brca	NM_001042669	TCGA-B6-A40B	0.7755		79.3481	
brca	NM_001042669	TCGA-B6-A40C	0.8844		173.1376	
brca	NM_001042669	TCGA-BH-A0AU	0.8928	0.3488	151.6245	358.0160
brca	NM_001042669	TCGA-BH-A0AW	0.8518		165.8178	
brca	NM_001042669	TCGA-BH-A0AZ	0.7439	0.4424	409.1998	637.3543
brca	NM_001042669	TCGA-BH-A0B2	0.7114	0.4649	490.9520	355.1325
brca	NM_001042669	TCGA-BH-A0B3	0.7082	0.7220	191.5731	315.3285
