index	FACS.selection	age	batch	cell	cell_ontology_class	cell_ontology_id	cellid	free_annotation	mouse.id	plate	sex	well	Expressed Genes	UMI Count	Louvain Cluster	leiden	cluster_names
L1.D041914.3_8_M.1.1-1	nan	3m	1	L1.D041914.3_8_M.1.1	bladder cell	CL:1001319	nan	bladder mesenchymal cell (Car3+)	3_8_M	nan	male	nan	4543	6154.431	3	9	3_bladder cell
L1.D042253.3_9_M.1.1-1	nan	3m	1	L1.D042253.3_9_M.1.1	bladder cell	CL:1001319	nan	bladder mesenchymal cell (Car3+)	3_9_M	nan	male	nan	4969	6792.1777	4	4	4_bladder cell
L1.MAA000487.3_10_M.1.1-1	nan	3m	1	L1.MAA000487.3_10_M.1.1	bladder cell	CL:1001319	nan	bladder mesenchymal cell (Scara5+)	3_10_M	nan	male	nan	5583	6433.5615	1	8	1_bladder cell
L10.B000610.3_56_F.1.1-1	nan	3m	1	L10.B000610.3_56_F.1.1	bladder urothelial cell	CL:1001428	nan	luminal bladder epithelial cell (umbrella cell)	3_56_F	nan	female	nan	4593	6261.986	5	3	5_bladder urothelial cell
L10.B002764.3_38_F.1.1-1	nan	3m	1	L10.B002764.3_38_F.1.1	bladder urothelial cell	CL:1001428	nan	luminal bladder epithelial cell (umbrella cell)	3_38_F	nan	female	nan	4057	6412.7812	5	3	5_bladder urothelial cell
L10.B002771.3_39_F.1.1-1	nan	3m	1	L10.B002771.3_39_F.1.1	bladder urothelial cell	CL:1001428	nan	luminal bladder epithelial cell (umbrella cell)	3_39_F	nan	female	nan	5849	6730.636	5	3	5_bladder urothelial cell
L10.D041914.3_8_M.1.1-1	nan	3m	1	L10.D041914.3_8_M.1.1	bladder cell	CL:1001319	nan	bladder mesenchymal cell (Scara5+)	3_8_M	nan	male	nan	4489	6029.6865	1	1	1_bladder cell
L10.D042253.3_9_M.1.1-1	nan	3m	1	L10.D042253.3_9_M.1.1	bladder cell	CL:1001319	nan	bladder mesenchymal cell (Car3+)	3_9_M	nan	male	nan	5138	6703.3145	4	4	4_bladder cell
L10.MAA000487.3_10_M.1.1-1	nan	3m	1	L10.MAA000487.3_10_M.1.1	bladder urothelial cell	CL:1001428	nan	luminal bladder epithelial cell (umbrella cell)	3_10_M	nan	male	nan	5716	7392.7993	6	6	6_bladder urothelial cell
L11.B000610.3_56_F.1.1-1	nan	3m	1	L11.B000610.3_56_F.1.1	bladder urothelial cell	CL:1001428	nan	luminal bladder epithelial cell (umbrella cell)	3_56_F	nan	female	nan	4146	6099.019	5	3	5_bladder urothelial cell
L11.D041914.3_8_M.1.1-1	nan	3m	1	L11.D041914.3_8_M.1.1	bladder cell	CL:1001319	nan	bladder mesenchymal cell (Car3+)	3_8_M	nan	male	nan	5802	7036.1426	3	10	3_bladder cell
L11.D042253.3_9_M.1.1-1	nan	3m	1	L11.D042253.3_9_M.1.1	bladder cell	CL:1001319	nan	bladder mesenchymal cell (Scara5+)	3_9_M	nan	male	nan	4807	6610.11	1	8	1_bladder cell
L11.MAA000487.3_10_M.1.1-1	nan	3m	1	L11.MAA000487.3_10_M.1.1	bladder urothelial cell	CL:1001428	nan	luminal bladder epithelial cell (umbrella cell)	3_10_M	nan	male	nan	5274	7660.075	6	6	6_bladder urothelial cell
L12.B000610.3_56_F.1.1-1	nan	3m	1	L12.B000610.3_56_F.1.1	bladder urothelial cell	CL:1001428	nan	luminal bladder epithelial cell (umbrella cell)	3_56_F	nan	female	nan	4265	6017.2173	5	3	5_bladder urothelial cell
L12.D041914.3_8_M.1.1-1	nan	3m	1	L12.D041914.3_8_M.1.1	bladder cell	CL:1001319	nan	bladder mesenchymal cell (Car3+)	3_8_M	nan	male	nan	4939	6561.4487	3	10	3_bladder cell
L12.D042253.3_9_M.1.1-1	nan	3m	1	L12.D042253.3_9_M.1.1	bladder cell	CL:1001319	nan	bladder mesenchymal cell (Car3+)	3_9_M	nan	male	nan	4724	6725.5645	4	4	4_bladder cell
